Movie Name,Release Date,Rating,Director,Link
It Happened One Night,1934,8.0,Steven Spielberg,https://www.imdb.com/title/tt0097576/?ref_=adv_li_tt
Gangs of Wasseypur,2012,8.0,Billy Wilder,https://www.imdb.com/title/tt0053604/?ref_=adv_li_tt
La haine,1995,8.0,Billy Wilder,https://www.imdb.com/title/tt0053604/?ref_=adv_li_tt
Ah-ga-ssi,2016,8.0,Nadine Labaki,https://www.imdb.com/title/tt8267604/?ref_=adv_li_tt
Lagaan: Once Upon a Time in India,2001,8.0,Nadine Labaki,https://www.imdb.com/title/tt8267604/?ref_=adv_li_tt
The Princess Bride,1987,8.0,"Pete Docter, Bob Peterson (co-director)",https://www.imdb.com/title/tt1049413/?ref_=adv_li_tt
Munna Bhai M.B.B.S.,2003,8.0,"Pete Docter, Bob Peterson (co-director)",https://www.imdb.com/title/tt1049413/?ref_=adv_li_tt
PK,2014,8.0,Curtis Hanson,https://www.imdb.com/title/tt0119488/?ref_=adv_li_tt
Butch Cassidy and the Sundance Kid,1969,8.0,Curtis Hanson,https://www.imdb.com/title/tt0119488/?ref_=adv_li_tt
Before Sunset,2004,8.0,"Terry Gilliam, Terry Jones",https://www.imdb.com/title/tt0071853/?ref_=adv_li_tt
The Help,2011,8.0,"Terry Gilliam, Terry Jones",https://www.imdb.com/title/tt0071853/?ref_=adv_li_tt
"Swades: We, the People",2004,8.0,Denis Villeneuve,https://www.imdb.com/title/tt1255953/?ref_=adv_li_tt
Akira,1988,8.0,Denis Villeneuve,https://www.imdb.com/title/tt1255953/?ref_=adv_li_tt
